mcc,desc
0,Ветеринарные услуги
1,"Генеральные подрядчики по вентиляции, теплоснабжению, и водопроводу"
2,Подрядчики по электричеству
3,"Подрядчики, специализированная торговля — нигде более не классифицированные"
4,Разнообразные издательства/печатное дело
5,"Авиалинии, авиакомпании"
6,Агентства по аренде автомобилей
7,"Жилье — отели, мотели, курорты"
8,"Транспортировка — пригородные и локальные сезонные транспортные средства, включая электрички"
9,Пассажирские железные перевозки
10,Лимузины и такси
11,Автобусные линии
12,"Агентства по автотранспортным перевозкам, местные/дальные автогрузоперевозки, компании попереезду и хранению, местная доставка"
13,"Услуги курьера — по воздуху и на земле, агентство по отправке грузов"
14,Круизные линии
15,"Авиалинии, авиакомпании, нигде более не классифицированные"
16,Туристические агентства и организаторы экскурсий
17,"Дорожный и мостовой сборы, пошлины"
18,Услуги по транспортировке — нигде более не классифицированные
19,"Телекоммуникационное оборудование, включая продажу телефонов"
20,"Звонки с использованием телефонов, считывающих магнитную ленту"
21,Компьютерная сеть/информационные услуги
22,Денежные переводы
23,Кабельные и другие платные телевизионные услуги
24,"Коммунальные услуги — электричество, газ, санитария, вода"
25,Поставщики грузовиков и запчастей
26,Строительные материалы — нигде более не классифицированные
27,"Офисное, фотографическое, фотокопировальное, и микрофильмирующее оборудование"
28,"Компьютеры, периферийное компьютерное оборудование, программное обеспечение"
29,Стоматологическое/лабороторное/медицинское/офтальмологическое стационарное оборудование и устройства
30,Электрические части и оборудование
31,Оборудование и сопутствующие материалы для технического обеспечения
32,Оборудование для водопровода и отопительной системы
33,Промышленное оборудование — нигде более не классифицированное
34,"Драгоценные камни и металлы, часы и ювелирные изделия"
35,Товары длительного пользования — нигде более не классифицированные
36,"Канцелярия, офисные сопутствующие товары, бумага для печатания и письма"
37,"Лекарства, их распространители, аптеки"
38,"Штучные товары, галантерея и другие текстильные товары"
39,"Мужская, женская и детская спец-одежда"
40,"Химикалии и смежные вещества, не классифицированные ранее"
41,Нефть и нефтепродукты
42,"Книги, периодические издания и газеты"
43,"Оборудование для выращивания растений, инвентарь для питомников и цветы"
44,"Товары недлительного пользования, не классифицированные ранее"
45,Товары для дома
46,Лесо- и строительный материал
47,"Розничная продажа стекла, красок и обоев"
48,Скобяные товары в розницу
49,Садовые принадлежности (в том числе для ухода за газонами) в розницу
50,Оптовики
51,Беспошлинные магазины Duty Free
52,"Магазины, торгующие по сниженным ценам"
53,Универмаги
54,Универсальные магазины
55,Различные товары общего назначения
56,"Бакалейные магазины, супермаркеты"
57,Продажа свежего и мороженого мяса
58,Кондитерские
59,Продажа молочных продуктов в розницу
60,Булочные
61,"Различные продовольственные магазины — рынки, магазины со спец-ассортиментом, продажа полуфабрикатов, фирменных блюд, продажа с помощью торговых автоматов"
62,"Легковой и грузовой транспорт — продажа, сервис, ремонт, запчасти и лизинг"
63,Автошины
64,Автозапчасти и аксессуары
65,Станции техобслуживания
66,Автоматизированные бензозаправки
67,Продажа мотоциклов
68,Продажа снегоходов
69,"Мужская одежда и аксессуары, включая одежду для мальчиков"
70,Готовая женская одежда
71,Аксессуары для женщин
72,"Детская одежда, включая одежду для самых маленьких"
73,Одежда для всей семьи
74,"Спортивная одежда, одежда для верховой езды и езды на мотоцикле"
75,Обувные магазины
76,Изготовление и продажа меховых изделий
77,Магазины мужской и женской одежды
78,"Услуги по переделке, починке и пошиву одежды"
79,Различные магазины одежды и аксессуаров
80,"Оборудование, мебель и бытовые принадлежности (кроме электрооборудования)"
81,Покрытия для пола
82,"Ткани, обивочный материал, гардины и портьеры, жалюзи"
83,Различные специализированные магазины бытовых принадлежностей
84,Бытовое оборудование
85,Продажа электронного оборудования
86,"Продажа музыкальных инструментов, фортепиано, нот"
87,Продажа компьютерного программного обеспечения
88,Магазины звукозаписи
89,Поставщики провизии
90,"Места общественного питания, рестораны"
91,"Бары, коктейль-бары, дискотеки, ночные клубы и таверны — места продажи алкогольных напитков"
92,"Рестораны, закусочные"
93,"Цифровые товары, игры"
94,Аптеки
95,"Магазины с продажей спиртных напитков на вынос (пиво, вино и ликер)"
96,"Магазины second hand, магазины б/у товаров, комиссионки"
97,Веломагазины — продажа и обслуживание
98,Магазины спорттоваров
99,Книжные магазины
100,"Магазины офисных, школьных принадлежностей, канцтоваров"
101,"Магазины по продаже часов, ювелирных изделий и изделий из серебра"
102,Магазины игрушек
103,Магазины фотооборудования и фотоприборов
104,"Магазины открыток, подарков, новинок и сувениров"
105,"Магазины кожаных изделий, дорожных принадлежностей"
106,"Магазины ткани, ниток рукоделия, шитья"
107,Магазины хрусталя и изделий из стекла
108,Прямой маркетинг — торговля через каталог
109,Прямой маркетинг — комбинированный каталог и торговцы в розницу
110,Прямой маркетинг — входящий телемаркетинг
111,Прямой маркетинг — торговые точки подписки
112,Прямой маркетинг — другие торговые точки прямого маркетинга (нигде более не классифицированные)
113,Магазины художественных и ремесленных изделий
114,Галереи и художественные посредники
115,Ортопедические товары
116,Магазины косметики
117,"Горючее топливо — уголь, нефть, разжиженный бензин, дрова"
118,Флористика
119,Табачные магазины
120,Дилеры по продаже печатной продукции
121,Зоомагазины
122,Плавательные бассейны — распродажа
123,Финансовые институты — снятие наличности вручную
124,Финансовые институты — снятие наличности автоматически
125,Финансовые институты — торговля и услуги
126,"Не-финансовые институты — иностранная валюта, денежные переводы (непередаваемые), дорожные чеки, квази-кэш"
127,Ценные бумаги: брокеры/дилеры
128,"Продажа страхования, гарантированное размещение, премии"
129,Агенты и менеджеры по аренде недвижимости
130,Денежные переводы MasterCard MoneySend
131,"Отели, мотели, базы отдыха, сервисы бронирования"
132,Таймшер
133,Химчистки
134,Фотостудии
135,Салоты красоты и парикмахерские
136,Службы знакомств
137,Сервисы по покупке/продаже
138,Центры здоровья
139,Иной сервис
140,Рекламные услуги
141,Услуги копировальных центров
142,"Программирование, обработка данных, интегрированные системы, дизайн"
143,Информационные провайдеры
144,"Фотостудии, фотолаборатории"
145,Бизнес-сервис
146,Прокат автомобилей
147,Паркинги и гаражи
148,Станции технического обслуживания для автомобильного транспорта
149,СТО общего назначения
150,Автомойки
151,"Ремонт бытовой техники, ремонт электроприборы"
152,Общий ремонт
153,Производство и дистрибуция видеофильмов
154,Кинотеатры
155,Видеопрокат
156,Театральные продюсерские агентства
157,Билльярд-клубы
158,Боулинг-клубы
159,Туристические аттракционы и шоу
160,Принадлежности для видеоигр
161,Галереи/учреждения видеоигр
162,Транзакции по азартным играм
163,"Луна-парки, карнавалы, цирки, предсказатели будущего"
164,"Клубы — сельские клубы, членство(спортивный, отдых, спорт), частные поля для гольфа"
165,"Услуги отдыха, нигде ранее не классифицируемые"
166,"Доктора, нигде ранее не классифицируемые"
167,"Дантисты, ортодонтисты"
