ttc,desc
0,Покупка.ТУ СБ РФ
1,Покупка. POS ТУ СБ РФ
2,Оплата услуги. Банкоматы СБ РФ
3,Покупка. ТУ  Россия
4,Покупка. POS ТУ Россия
5,Покупка. Зарубеж. ТУ
6,Покупка. POS  Зарубеж. ТУ
7,н/д
8,н/д
9,н/д
10,Наличные. СБ РФ
11,Выдача наличных в подразделении Сбербанка (в других ТБ) 
12,Выдача наличных в АТМ Сбербанк России
13,Выдача наличных в АТМ Сбербанка (в других ТБ)
14,Выдача наличных через POS Сбербанка
15,Выдача наличных через POS Сбербанка (в других ТБ)
16,Наличные.  Россия
17,Наличные.   АТМ Россия
18,Наличные.  Зарубеж. банк
19,Наличные.  АТМ Зарубеж. банк
20,Безналичный перевод денежных средств через POS
21,Платеж с карты через ВСП
22,Платеж с карты через АТМ
23,Платеж с карты через Сбербанк ОнЛ@йн
24,н/д
25,Списание с карты по операции “перевода с карты на карту” через АТМ (в пределах одного тер.банка)
26,Списание с карты по операции “перевода с карты на карту” через АТМ (из одного ТБ в другой ТБ)
27,Списание с карты по операции “перевода с карты на карту” через АТМ (в пределах одного филиала)
28,Списание с карты по операции “перевода с карты на карту” через POS (в пределах одного тер.банка)
29,Списание с карты по операции “перевода с карты на карту” через POS (из одного ТБ в другой ТБ)
30,Списание с карты по операции “перевода с карты на карту” через POS (в пределах одного филиала)
31,Погашение кредита (в пределах одного филиала)
32,Погашение кредита с карты через ВСП
33,Погашение кредита с карты через АТМ
34,Погашение кредита с карты через Сбербанк ОнЛ@йн
35,Погашение кредита с карты по поручению клиента автомат.
36,н/д
37,Списание с карты на карту по операции <перевода с карты на карту> через Мобильный банк (без комиссии)
38,Списание с карты на карту по операции <перевода с карты на карту> через Мобильный банк (с комиссией)
39,Перевод средств с карты на счет клиента в ВСП
40,Перевод средств с карты на счет клиента через АТМ
41,Перевод средств с карты на счет клиента через Сбербанк ОнЛ@йн
42,Перевод средств с карты на счет клиента по поручению автомат.
43,Перевод с карты на счет др.лица в одном тер. банке через ВСП
44,Перевод с карты на счет др.лица в одном тер. банке через АТМ
45,Перевод с карты на счет др.лица в одном тер. банке через Сбербанк ОнЛ@йн
46,Перевод с карты на счет др.лица в одном тер. банке по поручению автомат.
